,Kategori,Posisi,Perusahaan,Lokasi,Kriteria
0,Data Analyst,IT Data Analyst,Setjen DPR RI,Kota Jakarta Pusat,"1. Persyaratan Umum
● Mahasiswa/i semester 5 atau 7;
● Belum pernah menjadi peserta MDRR DPR RI Tahun 2021 dan Tahun 2022;
● IPK minimal 3.00;
● Akreditasi prodi minimal B (PTN/PTS);
● Tidak menjadi anggota atau pengurus partai atau terlibat politik praktis;
● Diutamakan memiliki pengalaman organisasi;
● Diutamakan memiliki prestasi berkaitan dengan ilmu dalam program studinya baik di tingkat nasional maupun internasional;
● Bersedia menandatangani Surat Pernyataan Komitmen Mengikuti Seluruh Kegiatan yang juga ditandatangani oleh Ketua Prodi setelah dinyatakan lulus seleksi.

2. Persyaratan Khusus
● Menguasai penggunaan software visualisasi analitik seperti Tableau, Power BI, Kibana, Zoho Analytics
● Memahami proses data mining, text mining, machine learning, dan internet of things dari data terstruktur maupun data dinamis dari media sosial
● Memahami pengembangan dashboard untuk fitur statistik komputasi dan sains data pada studi kasus implementasi big data analitik
● Mampu membuat executive dashboard analytic berbasis web platform

Jurusan :
- S1 Statistika / Statistika Terapan / Matematika
- S1 Teknologi Informasi / Sistem Informasi"
1,Data Analyst,Data Analyst,INASTEK,Kab. Sleman,"1. Mahasiswa perguruan tinggi aktif yang menempuh semester 5 ke atas
2. IPK minimal 3.00 untuk jurusan Mahasiswa S1 atau D4 dari Jurusan:
Manajemen Bisnis, Manajemen, Ilmu Komunikasi, Desain Komunikasi Visual, Teknik Informatika, Ilmu Komputer, Teknik Elektro - Elektronika, Teknik Komputer, Teknik Mekatronika, Teknik Elektro - Telekomunikasi, Teknik Industri, Desain Produk, Ilmu Ekonomi
4. Memiliki kemampuan berbahasa Inggris (Intermediate Level)
5. Memiliki skill pemrograman dan AI sangat menjadi nilai tambah"
2,Data Analyst,Data Analyst (PDDikti),Dikti,Kota Jakarta Pusat,"Mahasiswa Tahun Ketiga dan Keempat Jenjang D4/S1
Mahasiswa Prodi Teknologi Informasi/Ilmu Komputer/Sistem Informasi/Matematika/Statistika
Mampu memahami requirements dari sebuah fitur dengan baik.
Memiliki pengalaman membangun produk berbasis web.
Memiliki kemampuan komunikasi dan kolaborasi yang baik.
Memiliki rasa ingin tahu yang tinggi dan tidak pernah puas akan pengetahuan baru.
Terbuka dalam menerima feedback dari orang lain.
Percaya diri dan dapat dipercaya."
3,Data Analyst,Data Analyst Intern,Bina Pertiwi,Kota Jakarta Timur,"Jurusan: S1 Teknik Informatika / Statistika / Matematika
Jenjang: S1
Semester: Semester 6/7

Req. Sklls: Coding"
4,Data Analyst,5. Policy Data Analyst,Indekstat,Kota Jakarta Selatan,"Kriteria Kandidat:
Jurusan: Semua jurusan (lebih disukai Administrasi Publik & Statistik)
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Microsoft Office
- Metode Penelitian
- Analisa Kebijakan Publik
- Field Management

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia ditempatkan di lokasi proyek"
5,Data Analyst,2. Data Processing & Analyst,Indekstat,Kota Jakarta Selatan,"Kriteria Kandidat:
• Jurusan: Semua jurusan (lebih disukai Politik & Statistik)
• Jenjang: S1
• Semester: Minimal semester 6


Kriteria hard skills:
- Microsoft Office
- Metode Penelitian
- Metode Sampling
- Data Processing

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia ditempatkan di lokasi proyek"
6,Data Analyst,Data Analyst,ADS Digital Partner,Kota Surabaya,"Kriteria hard skills:
• Memiliki kemampuan menganalisa data.
• Memiliki kemampuan dalam mengolah data.
• Familiar menggunakan SQL, Excel, Power Point, dan Talend Open Studio.

Kriteria soft skills:
• Memiliki kemampuan belajar yang cepat.
• Bersedia belajar hal-hal yang baru.
• Mampu bekerjasama dalam tim.
• Manajemen waktu.
• Bermotivasi tinggi."
7,Data Analyst,Facility Data Analyst,PT PLN (PERSERO),Kota Jakarta Selatan,"- Mahasiswa Jurusan Matematika, statistik, management, K3, adm dan Kebijakan kesehatan, kesehatan masyarakat atau kesehatan lingkungan
- Jenjang: D4/S1
- Semester: 5 dan 7
- Memiliki kemampuan kerjasama dan komunikasi yang baik
- Berkomitmen dan bersedia mengikuti seluruh rangkaian program gerilya selama 6 bulan
- Bersedia mengikuti team based project berdasarkan penempatan
- Tidak terikat program kampus merdeka sejenis
- Memiliki kemampuan analisis yang baik
- Memiliki kemampuan algoritma yang kuat"
8,Data Analyst,SCM Data Analyst,PT PLN (PERSERO),Kota Jakarta Selatan,"- Mahasiswa Jurusan matematika, statistik, management, logistik, atau hubungan industrial
- Jenjang: D4/S1
- Semester: 5 dan 7
- Memiliki kemampuan kerjasama dan komunikasi yang baik
- Berkomitmen dan bersedia mengikuti seluruh rangkaian program gerilya selama 6 bulan
- Bersedia mengikuti team based project berdasarkan penempatan
- Tidak terikat program kampus merdeka sejenis
- Memiliki kemampuan analisis yang baik
- Memiliki kemampuan algoritma yang kuat "
9,Data Analyst,Operation Data Analyst,Halodoc,Kota Jakarta Selatan,"● Mahasiswa perguruan tinggi aktif tahun ke-3 (semester 5-6) atau tahun ke-4 (semester 7-8);
● Memiliki jurusan Statistik-matematika, Teknik Informatika, Big Data/Computer Science, dan jurusan lainnya dengan minimum GPA 3.20 (skala 4.00);
● Memiliki kemampuan attention to detail yang tinggi dan good with numbers;
● Memiliki keahlian mengoperasikan Microsoft Office, terutama Ms. Excel. Kemampuan untuk mengoperasikan sistem analisis data lainnya akan menjadi pertimbangan;
● Memiliki motivasi, inisiatif, manajemen waktu, dan manajemen diri yang baik;
● Memiliki kemampuan komunikasi yang baik dan bersikap proaktif;
● Memiliki kemampuan berpikir logis dan analisis yang baik;
● Memiliki kemampuan dasar pemecahan masalah yang baik;
● Memiliki kemampuan untuk mempersiapkan dan melakukan presentasi dengan baik;
● Memiliki kemampuan adaptasi yang baik dan dapat bekerja dalam tim;
● Memiliki passion untuk dalam mengolah dan menganalisa data, tertarik pada konsep bisnis secara umum, dan bidang operasional bisnis;
● Memiliki mata kuliah yang berhubungan dengan pembelajaran dan pengalaman pada posisi penugasan;
● Kandidat magang telah memperoleh ijin dari pihak Prodi dan Universitas untuk kegiatan magang sesuai periode yang ada dan bersedia untuk memenuhi kelengkapan administrasi magang yang dipersyaratkan;
● Kandidat bersedia untuk melakukan kegiatan magang secara offline sesuai kebutuhan kerja magang di kantor pusat Halodoc (Kuningan, Jakarta Selatan)"
