id_jurusan,Jurusan
J-1,Adm Dan Kebijakan Kesehatan
J-2,Administrasi Perkantoran
J-3,Administrasi Publik
J-4,Aktuaria
J-5,Akuntansi
J-6,Bisnis
J-7,Desain Komunikasi Visual
J-8,Desain Produk
J-9,Ekonomi
J-10,Geodesi
J-11,Geografi
J-12,Hubungan Industrial
J-13,Hukum
J-14,Ilmu Komunikasi
J-15,It
J-16,K3
J-17,Kehutanan
J-18,Kesehatan Lingkungan
J-19,Kesehatan Masyarakat
J-20,Logistik
J-21,Manajemen
J-22,Matematika
J-23,No Requirement
J-24,Pemasaran
J-25,Pertanian
J-26,Physics
J-27,Politik
J-28,Psikologi
J-29,Relevan
J-30,Sosiologi
J-31,Statistika
J-32,Teknik
J-33,Teknik Elektro
J-34,Teknik Industri
J-35,Teknik Lingkungan
J-36,Teknik Mekatronika
J-37,Teknik Sipil
J-38,Teknik Telekomunikasi
