Kategori,Posisi,Perusahaan,Lokasi,Kriteria,Semester,IPK,Jurusan,Soft Skills,Hard Skills
Data Analyst,IT Data Analyst,Setjen DPR RI,Kota Jakarta Pusat,1  persyaratan umum -    mahasiswa i semester 5 atau 7  -    belum pernah menjadi peserta mdrr dpr ri tahun 2021 dan tahun 2022  -    ipk minimal 3 00  -    akreditasi prodi minimal b  ptn pts   -    tidak menjadi anggota atau pengurus partai atau terlibat politik praktis  -    diutamakan memiliki pengalaman organisasi  -    diutamakan memiliki prestasi berkaitan dengan ilmu dalam program studinya baik di tingkat nasional maupun internasional  -    bersedia menandatangani surat pernyataan komitmen mengikuti seluruh kegiatan yang juga ditandatangani oleh ketua prodi setelah dinyatakan lulus seleksi  -   -  2  persyaratan khusus -    menguasai penggunaan software visualisasi analitik seperti tableau  power bi  kibana  zoho analytics -    memahami proses data mining  text mining  machine learning  dan internet of things dari data terstruktur maupun data dinamis dari media sosial -    memahami pengembangan dashboard untuk fitur statistik komputasi dan sains data pada studi kasus implementasi big data analitik -    mampu membuat executive dashboard analytic berbasis web platform -   -  jurusan   -    s1 statistika   statistika terapan   matematika -    s1 teknologi informasi   sistem informasi,5,3,Statistika -  Matematika -  It,Organisasi -  Komitmen,Visualisasi -  Tableau -  Machine -  Learning -  Kibana -  Software -  Dashboard -  Power -  Zoho -  Bi -  Web -  Data -  Mining
Data Analyst,Data Analyst,INASTEK,Kab. Sleman,1  mahasiswa perguruan tinggi aktif yang menempuh semester 5 ke atas -  2  ipk minimal 3 00 untuk jurusan mahasiswa s1 atau d4 dari jurusan  -  manajemen bisnis  manajemen  ilmu komunikasi  desain komunikasi visual  teknik informatika  ilmu komputer  teknik elektro   elektronika  teknik komputer  teknik mekatronika  teknik elektro   telekomunikasi  teknik industri  desain produk  ilmu ekonomi -  4  memiliki kemampuan berbahasa inggris  intermediate level  -  5  memiliki skill pemrograman dan ai sangat menjadi nilai tambah,5,3,Desain Produk -  Teknik Telekomunikasi -  Teknik Industri -  Desain Komunikasi Visual -  Ilmu Komunikasi -  Manajemen -  Ekonomi -  Teknik Elektro -  It -  Teknik Mekatronika,Komunikasi -  Bahasa -  Inggris,Desain -  Visualisasi -  Programming
Data Analyst,Data Analyst (PDDikti),Dikti,Kota Jakarta Pusat,mahasiswa semester 5 dan keempat jenjang d4 s1 -  mahasiswa prodi teknologi informasi ilmu komputer sistem informasi matematika statistika -  mampu memahami requirements dari sebuah fitur dengan baik  -  memiliki pengalaman membangun produk berbasis web  -  memiliki kemampuan komunikasi dan kolaborasi yang baik  -  memiliki rasa ingin tahu yang tinggi dan tidak pernah puas akan pengetahuan baru  -  terbuka dalam menerima feedback dari orang lain  -  percaya diri dan dapat dipercaya ,5,No Requirement,Statistika -  Matematika -  It,Komunikasi -  Kolaborasi,Web
Data Analyst,Data Analyst Intern,Bina Pertiwi,Kota Jakarta Timur,jurusan  s1 teknik informatika   statistika   matematika -  jenjang  s1 -  semester  semester 6 7 -   -  req  sklls  coding,6,No Requirement,Statistika -  Matematika -  It,,Programming
Data Analyst,5. Policy Data Analyst,Indekstat,Kota Jakarta Selatan,kriteria kandidat  -  jurusan  semua jurusan  lebih disukai administrasi publik   statistik  -  jenjang  s1 -  semester  minimal semester 6 -   -  kriteria hard skills  -    microsoft office -    metode penelitian -    analisa kebijakan publik -    field management -   -  kriteria soft skills  -    komunikasi -    bekerja dalam tim -    memiliki inisiatif tinggi -    analitis -    terstruktur -   -  kriteria lainnya  -    bersedia ditempatkan di lokasi proyek,6,No Requirement,Statistika -  Administrasi Publik,Inisiatif -  Komunikasi -  Analisis -  Tim -  Analisis -  Teliti,Office -  Microsoft
Data Analyst,2. Data Processing & Analyst,Indekstat,Kota Jakarta Selatan,kriteria kandidat  -    jurusan  semua jurusan  lebih disukai politik   statistik  -    jenjang  s1 -    semester  minimal semester 6 -   -   -  kriteria hard skills  -    microsoft office -    metode penelitian -    metode sampling -    data processing -   -  kriteria soft skills  -    komunikasi -    bekerja dalam tim -    memiliki inisiatif tinggi -    analitis -    terstruktur -   -  kriteria lainnya  -    bersedia ditempatkan di lokasi proyek,6,No Requirement,Statistika -  Politik,Inisiatif -  Komunikasi -  Analisis -  Tim -  Teliti,Office -  Microsoft -  Data
Data Analyst,Data Analyst,ADS Digital Partner,Kota Surabaya,kriteria hard skills  -    memiliki kemampuan menganalisa data  -    memiliki kemampuan dalam mengolah data  -    familiar menggunakan sql  excel  power point  dan talend open studio  -   -  kriteria soft skills  -    memiliki kemampuan belajar yang cepat  -    bersedia belajar hal hal yang baru  -    mampu bekerjasama dalam tim  -    manajemen waktu  -    bermotivasi tinggi ,No Requirement,No Requirement,No Requirement,Tim -  Bekerjasama,Sql -  Power -  Excel -  Point -  Data
Data Analyst,Facility Data Analyst,PT PLN (PERSERO),Kota Jakarta Selatan,  mahasiswa jurusan matematika  statistik  management  k3  adm dan kebijakan kesehatan  kesehatan masyarakat atau kesehatan lingkungan -    jenjang  d4 s1 -    semester  5 dan 7 -    memiliki kemampuan kerjasama dan komunikasi yang baik -    berkomitmen dan bersedia mengikuti seluruh rangkaian program gerilya selama 6 bulan -    bersedia mengikuti team based project berdasarkan penempatan -    tidak terikat program kampus merdeka sejenis -    memiliki kemampuan analisis yang baik -    memiliki kemampuan algoritma yang kuat,No Requirement,No Requirement,Statistika -  Kesehatan Masyarakat -  Manajemen -  Kesehatan Lingkungan -  K3 -  Matematika -  Adm Dan Kebijakan Kesehatan,Komunikasi -  Komitmen -  Kerjasama,
Data Analyst,SCM Data Analyst,PT PLN (PERSERO),Kota Jakarta Selatan,  mahasiswa jurusan matematika  statistik  management  logistik  atau hubungan industrial -    jenjang  d4 s1 -    semester  5 dan 7 -    memiliki kemampuan kerjasama dan komunikasi yang baik -    berkomitmen dan bersedia mengikuti seluruh rangkaian program gerilya selama 6 bulan -    bersedia mengikuti team based project berdasarkan penempatan -    tidak terikat program kampus merdeka sejenis -    memiliki kemampuan analisis yang baik -    memiliki kemampuan algoritma yang kuat ,No Requirement,No Requirement,Statistika -   -  Hubungan Industrial -  Manajemen -  Matematika -  Logistik,Komunikasi -  Komitmen -  Kerjasama,
Data Analyst,Operation Data Analyst,Halodoc,Kota Jakarta Selatan,  mahasiswa perguruan tinggi aktif tahun ke 3  semester 5 6  atau tahun ke 4  semester 7 8   -    memiliki jurusan statistik matematika  teknik informatika  big data computer science  dan jurusan lainnya dengan minimum gpa 3 20  skala 4 00   -    memiliki kemampuan attention to detail yang tinggi dan good with numbers  -    memiliki keahlian mengoperasikan microsoft office  terutama ms  excel  kemampuan untuk mengoperasikan sistem analisis data lainnya akan menjadi pertimbangan  -    memiliki motivasi  inisiatif  manajemen waktu  dan manajemen diri yang baik  -    memiliki kemampuan komunikasi yang baik dan bersikap proaktif  -    memiliki kemampuan berpikir logis dan analisis yang baik  -    memiliki kemampuan dasar pemecahan masalah yang baik  -    memiliki kemampuan untuk mempersiapkan dan melakukan presentasi dengan baik  -    memiliki kemampuan adaptasi yang baik dan dapat bekerja dalam tim  -    memiliki passion untuk dalam mengolah dan menganalisa data  tertarik pada konsep bisnis secara umum  dan bidang operasional bisnis  -    memiliki mata kuliah yang berhubungan dengan pembelajaran dan pengalaman pada posisi penugasan  -    kandidat magang telah memperoleh ijin dari pihak prodi dan universitas untuk kegiatan magang sesuai periode yang ada dan bersedia untuk memenuhi kelengkapan administrasi magang yang dipersyaratkan  -    kandidat bersedia untuk melakukan kegiatan magang secara offline sesuai kebutuhan kerja magang di kantor pusat halodoc  kuningan  jakarta selatan ,5,No Requirement,Statistika -  Matematika -  It,Inisiatif -  Komunikasi -  Adaptasi -  Tim -  Proaktif -  Presentasi,Office -  Excel -  Data -  Computer -  Microsoft
