id_posisi,Posisi,id_perusahaan,Lokasi,Semester,IPK
ID-1,IT Data Analyst,P-38,Kota Jakarta Pusat,5,3
ID-2,Data Analyst,P-7,Kab. Sleman,5,3
ID-3,Data Analyst (PDDikti),P-47,Kota Jakarta Pusat,5,No Requirement
ID-4,Data Analyst Intern,P-35,Kota Jakarta Timur,6,No Requirement
ID-5,5. Policy Data Analyst,P-43,Kota Jakarta Selatan,6,No Requirement
ID-6,2. Data Processing & Analyst,P-43,Kota Jakarta Selatan,6,No Requirement
ID-7,Data Analyst,P-18,Kota Surabaya,No Requirement,No Requirement
ID-8,Facility Data Analyst,P-45,Kota Jakarta Selatan,No Requirement,No Requirement
ID-9,SCM Data Analyst,P-45,Kota Jakarta Selatan,No Requirement,No Requirement
ID-10,Operation Data Analyst,P-20,Kota Jakarta Selatan,5,No Requirement
ID-11,Data Analyst & SOP Project Carbon Forest Intern,P-3,Kota Jakarta Timur,5,No Requirement
ID-12,Data Analyst,P-46,Kota Jakarta Pusat,5,No Requirement
ID-13,Data Analyst,P-46,Kota Jakarta Pusat,5,No Requirement
ID-14,Data Analyst,P-46,Kota Jakarta Pusat,5,No Requirement
ID-15,Data Analyst (Pengelolaan Data Dan Informasi Percepatan Rehabilitasi Mangrove Dan Restorasi Gambut),P-32,Kota Jakarta Pusat,5,No Requirement
ID-16,Pricing and Data Analyst Intern ,P-34,Kota Jakarta Selatan,5,No Requirement
ID-17,Data Science Analyst,P-29,Kota Jakarta Utara,6,No Requirement
ID-18,MARKETING DATA ANALYST  MEDAN,P-48,Kota Tangerang,No Requirement,No Requirement
ID-19,MARKETING DATA ANALYST  KOTABUMI,P-48,Kota Tangerang,No Requirement,No Requirement
ID-20,MARKETING DATA ANALYST  SIDOARJO,P-48,Kota Tangerang,No Requirement,No Requirement
ID-21,MARKETING DATA ANALYST  REMBANG,P-48,Kota Tangerang,No Requirement,No Requirement
ID-22,MARKETING DATA ANALYST  BANDUNG 2,P-48,Kota Tangerang,No Requirement,No Requirement
ID-23,MARKETING DATA ANALYST  LAMPUNG,P-48,Kota Tangerang,No Requirement,No Requirement
ID-24,MARKETING DATA ANALYST  MALANG,P-48,Kota Tangerang,No Requirement,No Requirement
ID-25,MARKETING DATA ANALYST  HEAD OFFICE,P-48,Kota Tangerang,No Requirement,No Requirement
ID-26,ICT – Data Analyst (Google Studio/Looker Studio),P-17,Kota Jakarta Pusat,5,No Requirement
ID-27,Data Analyst Intern,P-40,Kota Jakarta Pusat,6,No Requirement
ID-28,Data Analyst,P-1,Kota Jakarta Selatan,5,No Requirement
ID-29,Mechanization Data Analyst,P-41,Kota Jakarta Selatan,5,No Requirement
ID-30,Data Analyst,P-13,Kota Bandung,No Requirement,No Requirement
ID-31,Data Analyst,P-13,Kota Bandung,5,No Requirement
ID-32,Data Analyst Intern,P-15,Kota Jakarta Selatan,5,No Requirement
ID-33,Data Analyst ,P-16,Kota Jakarta Selatan,5,No Requirement
ID-34,Data Analyst,P-5,Kota Medan,5,No Requirement
ID-35,IR Data Analyst,P-25,Kab. Banyuwangi,6,3.5
ID-36,Data Analyst,P-30,Kota Jakarta Pusat,6,No Requirement
ID-37,Data Analyst for CEO Office - SinemArt,P-30,Kota Jakarta Pusat,6,No Requirement
ID-38,HR Data Analyst,P-25,Kab. Banyuwangi,6,3.5
ID-39,DATA SCIENTIST & ANALYST INTERN,P-12,Kota Makassar,5,No Requirement
ID-40,Data Analyst Intern,P-2,Kota Jakarta Selatan,6,No Requirement
ID-41, Information Technology Support  - Database dan Analyst -  IOT Implementation,P-10,Kab. Bekasi,5,No Requirement
